generation,avg_prey_survival,max_prey_survival,total_food,avg_predator_kills,max_predator_kills,total_kills,avg_prey_nodes,avg_prey_connections,avg_pred_nodes,avg_pred_connections,alive_prey_end,alive_pred_end
275,170.56,305,34,1.76,3,44,3.94,3.28,4.0,10.24,0,25
276,148.38,343,33,2.0,3,50,4.12,3.92,4.0,10.12,0,25
277,144.66,303,40,1.8,3,45,3.8,3.52,4.04,10.6,0,25
278,131.84,265,25,2.0,3,50,3.84,3.38,4.08,10.44,0,25
279,129.06,433,53,1.96,3,49,3.6,3.08,4.0,9.72,0,25
280,100.54,236,31,2.0,3,50,3.96,3.62,3.96,10.36,0,25
281,126.36,336,41,2.0,4,50,3.9,3.74,4.0,10.24,0,25
282,145.14,371,59,1.92,4,48,3.8,3.64,3.92,10.76,0,25
283,115.0,271,47,1.96,3,49,3.52,3.52,4.0,11.12,0,25
284,128.12,254,22,2.0,3,50,3.04,3.02,4.12,11.08,0,25
285,131.98,339,34,1.92,3,48,3.02,2.74,4.4,11.28,0,25
286,133.64,289,51,1.84,4,46,3.02,3.06,4.04,10.84,0,25
287,142.96,310,56,1.84,3,46,3.04,2.76,4.04,10.0,0,25
288,130.58,275,19,2.0,3,50,3.02,2.76,4.04,9.84,0,25
289,148.1,316,37,1.88,3,47,3.04,2.94,4.0,9.4,0,25
290,146.36,398,47,1.84,3,46,3.0,2.68,3.96,9.52,0,25
291,122.52,284,22,1.92,3,48,3.0,2.7,4.0,9.24,0,25
292,119.3,288,41,1.92,3,48,3.0,2.66,3.96,9.04,0,25
293,125.2,415,42,1.88,4,47,3.04,2.78,4.0,8.88,0,25
294,129.92,328,32,1.88,3,47,3.08,2.94,4.24,9.56,0,25
295,129.96,283,32,2.0,3,50,3.1,3.22,4.36,10.08,0,25
296,135.36,363,39,2.0,3,50,3.16,2.78,4.32,10.36,0,25
297,134.42,323,54,1.88,3,47,3.02,2.54,4.28,10.8,0,25
298,141.72,399,42,1.96,3,49,3.04,2.56,4.24,9.4,0,25
299,113.48,301,41,1.92,3,48,3.08,2.62,4.0,9.2,0,25
300,109.9,285,46,1.96,3,49,3.02,2.56,4.0,9.16,0,25
301,137.68,388,28,1.72,3,43,3.02,2.78,3.96,9.4,0,25
302,140.76,357,39,1.92,3,48,3.2,2.96,4.0,8.96,0,25
303,115.18,224,26,2.0,3,50,3.44,3.14,3.96,8.36,0,25
304,156.24,377,33,1.88,4,47,3.54,3.62,4.0,8.32,0,25
305,130.36,257,17,2.0,3,50,3.46,3.4,3.96,8.04,0,25
306,113.02,294,36,1.92,3,48,3.52,3.2,3.96,7.96,0,25
307,157.62,297,30,1.88,3,47,3.9,3.72,3.72,8.84,0,25
308,145.16,453,59,1.88,4,47,3.68,3.62,3.96,8.92,0,25
309,127.08,348,43,1.92,4,48,3.3,3.5,3.96,8.64,0,25
310,116.76,301,41,2.0,4,50,3.34,3.14,3.96,8.56,0,25
311,125.24,383,38,1.96,3,49,3.44,3.04,4.0,8.44,0,25
312,101.14,257,38,2.0,3,50,3.32,3.06,3.92,8.08,0,25
313,135.08,321,39,1.88,4,47,3.38,3.42,4.04,8.08,0,25
314,112.48,238,46,2.0,3,50,3.72,3.88,4.04,7.84,0,25
315,136.92,475,63,1.96,3,49,3.74,3.84,3.68,7.08,0,25
316,129.72,304,36,1.92,3,48,3.72,4.06,3.92,7.12,0,25
317,143.2,267,22,1.84,3,46,3.88,4.62,4.36,7.08,0,25
318,164.16,300,49,1.76,3,44,3.68,3.9,5.0,7.76,0,25
319,167.52,436,45,1.76,4,44,3.82,4.26,5.0,8.04,0,25
320,154.54,340,34,1.72,3,43,3.84,4.3,5.0,8.28,0,25
321,163.48,284,24,1.56,3,39,3.64,3.8,5.0,8.28,0,25
322,159.0,411,42,1.72,3,43,3.24,3.32,4.96,8.56,0,25
323,136.22,281,31,1.8,3,45,3.06,2.9,4.96,8.84,0,25
324,132.7,355,48,2.0,4,50,3.0,3.0,5.0,8.52,0,25
325,133.48,353,49,2.0,4,50,3.0,2.66,5.0,9.0,0,25
326,137.04,299,46,1.8,3,45,3.02,2.44,4.96,8.56,0,25
327,172.78,369,57,1.76,4,44,3.02,2.66,5.04,7.76,0,25
328,155.22,298,49,1.8,3,45,3.0,2.74,4.96,7.04,0,25
329,122.5,301,36,1.92,3,48,3.04,3.06,5.0,6.96,0,25
330,135.6,330,48,1.96,3,49,3.0,2.98,5.04,6.88,0,25
331,158.02,294,32,1.76,4,44,3.02,3.22,5.52,7.96,0,25
332,127.88,291,50,1.92,3,48,3.02,3.8,5.92,8.92,0,25
333,122.42,297,27,1.96,3,49,3.0,3.82,6.04,8.64,0,25
334,154.66,387,51,1.92,4,48,3.02,3.86,6.0,8.64,0,25
335,131.74,344,47,1.96,3,49,3.14,3.68,6.04,8.36,0,25
336,129.1,375,36,1.96,4,49,3.0,3.78,6.2,8.2,0,25
337,146.86,335,42,1.84,3,46,3.02,4.12,5.92,7.48,0,25
338,159.58,391,46,1.88,4,47,3.18,4.46,6.08,7.28,0,25
339,136.42,379,45,1.96,3,49,3.2,4.42,6.0,6.76,0,25
340,126.58,296,39,2.0,3,50,3.24,4.24,5.96,6.68,0,25
341,128.02,314,43,2.0,3,50,3.24,4.04,5.92,6.88,0,25
342,155.42,379,44,1.8,3,45,3.06,4.04,6.04,6.36,0,25
